Tiempo, Cabina1, Cabina2, Cabina3, Cabina4, Cabina5, 
22, EJECUTA SOA-7653 NORMAL, EJECUTA SEF-6652 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
23, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SVG-5621 NORMAL, EJECUTA SWV-2191 NORMAL, EJECUTA SLB-7072 NORMAL, 
24, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SLB-7072 NORMAL, 
25, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
26, EJECUTA SOA-7653 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
27, EJECUTA STJ-2229 NORMAL, EJECUTA SJI-3320 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
28, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SCF-6859 NORMAL, EJECUTA SKY-0160 NORMAL, EJECUTA SSS-7811 NORMAL, 
29, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SSS-7811 NORMAL, 
30, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
31, EJECUTA STJ-2229 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
32, EJECUTA SKZ-2033 NORMAL, EJECUTA SYK-7055 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
33, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SEP-1409 NORMAL, EJECUTA SSG-9950 NORMAL, EJECUTA SDI-6093 NORMAL, 
34, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SDI-6093 NORMAL, 
35, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
36, EJECUTA SKZ-2033 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
37, EJECUTA SCV-1677 NORMAL, EJECUTA SXQ-1469 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
38, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SAT-5208 NORMAL, EJECUTA SCU-7856 NORMAL, EJECUTA SUS-2454 NORMAL, 
39, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SUS-2454 NORMAL, 
40, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
41, EJECUTA SCV-1677 NORMAL, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
42, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SOP-0252 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
43, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SGT-0320 NORMAL, EJECUTA SHY-2985 NORMAL, EJECUTA SOU-6969 NORMAL, EJECUTA SWL-3932 NORMAL, 
44, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SWL-3932 NORMAL, 
45, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
46, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
47, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SGT-0320 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
48, ESPERANDO POR SBP-4216 EMERGENCIA, EJECUTA SLQ-7571 NORMAL, EJECUTA SHK-3232 NORMAL, EJECUTA SUK-9198 NORMAL, EJECUTA SVM-2266 NORMAL, 
49, EJECUTA SBP-4216 EMERGENCIA, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SVM-2266 NORMAL, 
50, EJECUTA SBP-4216 EMERGENCIA, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
51, EJECUTA SBP-4216 EMERGENCIA, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
52, EJECUTA SBP-4216 EMERGENCIA, EJECUTA SLQ-7571 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
53, EJECUTA SBP-4216 EMERGENCIA, EJECUTA SLB-0356 NORMAL, EJECUTA SHB-2618 NORMAL, EJECUTA SQF-7754 NORMAL, EJECUTA SGG-1492 NORMAL, 
54, EJECUTA SAM-7302 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SGG-1492 NORMAL, 
55, EJECUTA SAM-7302 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
56, EJECUTA SAM-7302 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
57, EJECUTA SAM-7302 NORMAL, EJECUTA SLB-0356 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
58, EJECUTA SAM-7302 NORMAL, EJECUTA SLR-8542 NORMAL, EJECUTA SVT-4742 NORMAL, EJECUTA SNR-8758 NORMAL, EJECUTA SLI-6252 NORMAL, 
59, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SLI-6252 NORMAL, 
60, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
61, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
62, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SLR-8542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
63, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SJU-3542 NORMAL, EJECUTA SLH-3171 NORMAL, EJECUTA SRS-6281 NORMAL, EJECUTA SYB-1976 NORMAL, 
64, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SYB-1976 NORMAL, 
65, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
66, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
67, ESPERANDO POR SJS-7354 EMERGENCIA, EJECUTA SJU-3542 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
68, EJECUTA SJS-7354 EMERGENCIA, EJECUTA STS-5654 NORMAL, EJECUTA SIC-6785 NORMAL, EJECUTA SMB-6887 NORMAL, EJECUTA SQI-8904 NORMAL, 
69, EJECUTA SJS-7354 EMERGENCIA, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SQI-8904 NORMAL, 
70, EJECUTA SJS-7354 EMERGENCIA, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
71, EJECUTA SJS-7354 EMERGENCIA, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
72, EJECUTA SJS-7354 EMERGENCIA, EJECUTA STS-5654 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
73, EJECUTA SPX-1280 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SSG-5514 NORMAL, EJECUTA SLX-2221 NORMAL, EJECUTA SDC-6801 NORMAL, 
74, EJECUTA SPX-1280 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SDC-6801 NORMAL, 
75, EJECUTA SPX-1280 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
76, EJECUTA SPX-1280 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
77, EJECUTA SPX-1280 NORMAL, EJECUTA SCS-7033 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
78, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SBD-8611 NORMAL, EJECUTA SXC-0534 NORMAL, EJECUTA SGU-2288 NORMAL, EJECUTA SYE-8366 NORMAL, 
79, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SBD-8611 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, EJECUTA SYE-8366 NORMAL, 
80, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SBD-8611 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, EJECUTA SQS-8867 NORMAL, 
81, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SBD-8611 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, EJECUTA SQS-8867 NORMAL, 
82, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SBD-8611 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, EJECUTA SQS-8867 NORMAL, 
83, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SHD-4536 NORMAL, EJECUTA SMO-2540 NORMAL, EJECUTA SZI-3086 NORMAL, EJECUTA SQS-8867 NORMAL, 
84, ESPERANDO POR SXQ-4271 EMERGENCIA, EJECUTA SHD-4536 NORMAL, EJECUTA SLL-1916 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SQS-8867 NORMAL, 
85, EJECUTA SXQ-4271 EMERGENCIA, EJECUTA SHD-4536 NORMAL, EJECUTA SLL-1916 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
86, EJECUTA SXQ-4271 EMERGENCIA, EJECUTA SHD-4536 NORMAL, EJECUTA SLL-1916 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
87, EJECUTA SXQ-4271 EMERGENCIA, EJECUTA SHD-4536 NORMAL, EJECUTA SLL-1916 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
88, EJECUTA SXQ-4271 EMERGENCIA, EJECUTA SRX-0083 NORMAL, EJECUTA SLL-1916 NORMAL, EJECUTA SDX-9854 NORMAL, EJECUTA SMC-6812 NORMAL, 
89, EJECUTA SXQ-4271 EMERGENCIA, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SMC-6812 NORMAL, 
90, EJECUTA SQF-9494 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
91, EJECUTA SQF-9494 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
92, EJECUTA SQF-9494 NORMAL, EJECUTA SRX-0083 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
93, EJECUTA SQF-9494 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SXG-7639 NORMAL, EJECUTA SEA-1569 NORMAL, EJECUTA SZB-8546 NORMAL, 
94, EJECUTA SQF-9494 NORMAL, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SMA-8975 NORMAL, EJECUTA SZB-8546 NORMAL, 
95, ESPERANDO POR SGX-8237 EMERGENCIA, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SMA-8975 NORMAL, EJECUTA SDA-3110 NORMAL, 
96, ESPERANDO POR SGX-8237 EMERGENCIA, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SMA-8975 NORMAL, EJECUTA SDA-3110 NORMAL, 
97, ESPERANDO POR SGX-8237 EMERGENCIA, EJECUTA SYZ-3905 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SMA-8975 NORMAL, EJECUTA SDA-3110 NORMAL, 
98, ESPERANDO POR SGX-8237 EMERGENCIA, EJECUTA SQI-7402 NORMAL, EJECUTA SWO-6828 NORMAL, EJECUTA SMA-8975 NORMAL, EJECUTA SDA-3110 NORMAL, 
99, ESPERANDO POR SGX-8237 EMERGENCIA, EJECUTA SQI-7402 NORMAL, EJECUTA SFT-7453 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SDA-3110 NORMAL, 
100, ESPERANDO POR SGX-8237 EMERGENCIA, EJECUTA SQI-7402 NORMAL, EJECUTA SFT-7453 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, 
101, EJECUTA SGX-8237 EMERGENCIA, EJECUTA SQI-7402 NORMAL, EJECUTA SFT-7453 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, 
102, EJECUTA SGX-8237 EMERGENCIA, EJECUTA SQI-7402 NORMAL, EJECUTA SFT-7453 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, 
103, EJECUTA SGX-8237 EMERGENCIA, EJECUTA SQJ-1611 NORMAL, EJECUTA SFT-7453 NORMAL, EJECUTA SUQ-6270 NORMAL, EJECUTA SCD-7680 NORMAL, 
104, EJECUTA SGX-8237 EMERGENCIA, EJECUTA SQJ-1611 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SCD-7680 NORMAL, 
105, EJECUTA SGX-8237 EMERGENCIA, EJECUTA SQJ-1611 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, 
106, EJECUTA SMW-6391 NORMAL, EJECUTA SQJ-1611 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, 
107, EJECUTA SMW-6391 NORMAL, EJECUTA SQJ-1611 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, 
108, EJECUTA SMW-6391 NORMAL, EJECUTA SIU-6965 NORMAL, EJECUTA SMX-3976 NORMAL, EJECUTA SSF-6282 NORMAL, EJECUTA SMH-5534 NORMAL, 
109, EJECUTA SMW-6391 NORMAL, EJECUTA SIU-6965 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SMH-5534 NORMAL, 
110, EJECUTA SMW-6391 NORMAL, EJECUTA SIU-6965 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SOL-3562 NORMAL, 
111, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SIU-6965 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SOL-3562 NORMAL, 
112, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SIU-6965 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SOL-3562 NORMAL, 
113, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SPJ-6658 NORMAL, EJECUTA SFH-5728 NORMAL, EJECUTA SJQ-2447 NORMAL, EJECUTA SOL-3562 NORMAL, 
114, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SPJ-6658 NORMAL, EJECUTA SOF-4189 NORMAL, EJECUTA SGJ-7110 NORMAL, EJECUTA SOL-3562 NORMAL, 
115, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SPJ-6658 NORMAL, EJECUTA SOF-4189 NORMAL, EJECUTA SGJ-7110 NORMAL, EJECUTA SUN-4062 NORMAL, 
116, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SPJ-6658 NORMAL, EJECUTA SOF-4189 NORMAL, EJECUTA SGJ-7110 NORMAL, EJECUTA SUN-4062 NORMAL, 
117, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SPJ-6658 NORMAL, EJECUTA SOF-4189 NORMAL, EJECUTA SGJ-7110 NORMAL, EJECUTA SUN-4062 NORMAL, 
118, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SRQ-1053 NORMAL, EJECUTA SOF-4189 NORMAL, EJECUTA SGJ-7110 NORMAL, EJECUTA SUN-4062 NORMAL, 
119, ESPERANDO POR SAP-2754 EMERGENCIA, EJECUTA SRQ-1053 NORMAL, EJECUTA SDW-9978 NORMAL, EJECUTA SQX-4485 NORMAL, EJECUTA SUN-4062 NORMAL, 
120, EJECUTA SAP-2754 EMERGENCIA, EJECUTA SRQ-1053 NORMAL, EJECUTA SDW-9978 NORMAL, EJECUTA SQX-4485 NORMAL, EJECUTA STT-7552 NORMAL, 
121, EJECUTA SAP-2754 EMERGENCIA, EJECUTA SRQ-1053 NORMAL, EJECUTA SDW-9978 NORMAL, EJECUTA SQX-4485 NORMAL, EJECUTA STT-7552 NORMAL, 
122, EJECUTA SAP-2754 EMERGENCIA, EJECUTA SRQ-1053 NORMAL, EJECUTA SDW-9978 NORMAL, EJECUTA SQX-4485 NORMAL, EJECUTA STT-7552 NORMAL, 
123, EJECUTA SAP-2754 EMERGENCIA, EJECUTA SLJ-0451 NORMAL, EJECUTA SDW-9978 NORMAL, EJECUTA SQX-4485 NORMAL, EJECUTA STT-7552 NORMAL, 
124, EJECUTA SAP-2754 EMERGENCIA, EJECUTA SLJ-0451 NORMAL, EJECUTA SPZ-2451 NORMAL, EJECUTA SOA-9519 NORMAL, EJECUTA STT-7552 NORMAL, 
125, EJECUTA SDV-5710 NORMAL, EJECUTA SLJ-0451 NORMAL, EJECUTA SPZ-2451 NORMAL, EJECUTA SOA-9519 NORMAL, EJECUTA SPI-8311 NORMAL, 
126, EJECUTA SDV-5710 NORMAL, EJECUTA SLJ-0451 NORMAL, EJECUTA SPZ-2451 NORMAL, EJECUTA SOA-9519 NORMAL, EJECUTA SPI-8311 NORMAL, 
127, EJECUTA SDV-5710 NORMAL, EJECUTA SLJ-0451 NORMAL, EJECUTA SPZ-2451 NORMAL, EJECUTA SOA-9519 NORMAL, EJECUTA SPI-8311 NORMAL, 
128, EJECUTA SDV-5710 NORMAL, EJECUTA SYA-8271 NORMAL, EJECUTA SPZ-2451 NORMAL, EJECUTA SOA-9519 NORMAL, EJECUTA SPI-8311 NORMAL, 
129, EJECUTA SDV-5710 NORMAL, EJECUTA SYA-8271 NORMAL, EJECUTA SVA-1495 NORMAL, EJECUTA SZU-1873 NORMAL, EJECUTA SPI-8311 NORMAL, 
130, ESPERANDO POR SHS-0207 EMERGENCIA, EJECUTA SYA-8271 NORMAL, EJECUTA SVA-1495 NORMAL, EJECUTA SZU-1873 NORMAL, EJECUTA SIG-0899 NORMAL, 
131, ESPERANDO POR SHS-0207 EMERGENCIA, EJECUTA SYA-8271 NORMAL, EJECUTA SVA-1495 NORMAL, EJECUTA SZU-1873 NORMAL, EJECUTA SIG-0899 NORMAL, 
132, ESPERANDO POR SHS-0207 EMERGENCIA, EJECUTA SYA-8271 NORMAL, EJECUTA SVA-1495 NORMAL, EJECUTA SZU-1873 NORMAL, EJECUTA SIG-0899 NORMAL, 
133, ESPERANDO POR SHS-0207 EMERGENCIA, EJECUTA SLC-2055 NORMAL, EJECUTA SVA-1495 NORMAL, EJECUTA SZU-1873 NORMAL, EJECUTA SIG-0899 NORMAL, 
134, ESPERANDO POR SHS-0207 EMERGENCIA, EJECUTA SLC-2055 NORMAL, EJECUTA SVM-7761 NORMAL, EJECUTA SOT-8591 NORMAL, EJECUTA SIG-0899 NORMAL, 
135, ESPERANDO POR SHS-0207 EMERGENCIA, EJECUTA SLC-2055 NORMAL, EJECUTA SVM-7761 NORMAL, EJECUTA SOT-8591 NORMAL, EJECUTA SPL-7116 NORMAL, 
136, EJECUTA SHS-0207 EMERGENCIA, EJECUTA SLC-2055 NORMAL, EJECUTA SVM-7761 NORMAL, EJECUTA SOT-8591 NORMAL, EJECUTA SPL-7116 NORMAL, 
137, EJECUTA SHS-0207 EMERGENCIA, EJECUTA SLC-2055 NORMAL, EJECUTA SVM-7761 NORMAL, EJECUTA SOT-8591 NORMAL, EJECUTA SPL-7116 NORMAL, 
138, EJECUTA SHS-0207 EMERGENCIA, EJECUTA SIE-2035 NORMAL, EJECUTA SVM-7761 NORMAL, EJECUTA SOT-8591 NORMAL, EJECUTA SPL-7116 NORMAL, 
139, EJECUTA SHS-0207 EMERGENCIA, EJECUTA SIE-2035 NORMAL, EJECUTA SWD-6638 NORMAL, EJECUTA SIC-5334 NORMAL, EJECUTA SPL-7116 NORMAL, 
140, EJECUTA SHS-0207 EMERGENCIA, EJECUTA SIE-2035 NORMAL, EJECUTA SWD-6638 NORMAL, EJECUTA SIC-5334 NORMAL, EJECUTA SQK-6817 NORMAL, 
141, EJECUTA SBY-8960 NORMAL, EJECUTA SIE-2035 NORMAL, EJECUTA SWD-6638 NORMAL, EJECUTA SIC-5334 NORMAL, EJECUTA SQK-6817 NORMAL, 
142, EJECUTA SBY-8960 NORMAL, EJECUTA SIE-2035 NORMAL, EJECUTA SWD-6638 NORMAL, EJECUTA SIC-5334 NORMAL, EJECUTA SQK-6817 NORMAL, 
143, EJECUTA SBY-8960 NORMAL, EJECUTA SXR-2281 NORMAL, EJECUTA SWD-6638 NORMAL, EJECUTA SIC-5334 NORMAL, EJECUTA SQK-6817 NORMAL, 
144, EJECUTA SBY-8960 NORMAL, EJECUTA SXR-2281 NORMAL, EJECUTA SWG-5716 NORMAL, EJECUTA SPT-9666 NORMAL, EJECUTA SQK-6817 NORMAL, 
145, EJECUTA SBY-8960 NORMAL, EJECUTA SXR-2281 NORMAL, EJECUTA SWG-5716 NORMAL, EJECUTA SPT-9666 NORMAL, EJECUTA SUK-7537 NORMAL, 
